Borough,Year,Price,Population,Crime,Income
Barking and Dagenham,2010,166560,40,32,23100
Barking and Dagenham,2011,163465,41,29,22500
Barking and Dagenham,2012,165864,42,28,22800
Barking and Dagenham,2013,173734,43,26,23700
Barking and Dagenham,2014,201172,43,26,24600
Barking and Dagenham,2015,233460,44,28,25500
Barking and Dagenham,2016,273920,44,28,25900
Barking and Dagenham,2017,287735,45,30,26700
Barking and Dagenham,2018,295197,46,29,27400
Barking and Dagenham,2019,298338,46,32,28800
Barking and Dagenham,2020,302143,47,31,29400
Barking and Dagenham,2021,316508,47,32,30800
Barking and Dagenham,2022,343440,48,35,31800
Barking and Dagenham,2023,343340,48,37,32500
Barnet,2010,333128,38,40,41600
Barnet,2011,338978,38,41,38800
Barnet,2012,358627,39,40,39200
Barnet,2013,374771,39,36,41000
Barnet,2014,430363,40,36,45500
Barnet,2015,478688,40,39,45800
Barnet,2016,525940,40,40,49000
Barnet,2017,538281,41,42,48600
Barnet,2018,533266,41,44,49500
Barnet,2019,520524,42,50,51600
Barnet,2020,525780,42,43,51600
Barnet,2021,550729,42,43,54400
Barnet,2022,587623,43,47,59100
Barnet,2023,584510,43,50,62300
Bexley,2010,200874,70,23,27600
Bexley,2011,200672,72,20,27400
Bexley,2012,202546,73,20,28300
Bexley,2013,213470,74,19,28600
Bexley,2014,244460,74,20,29600
Bexley,2015,274209,75,20,30200
Bexley,2016,321564,76,22,30900
Bexley,2017,335694,77,24,32300
Bexley,2018,342604,78,25,33500
Bexley,2019,336988,79,30,34600
Bexley,2020,343045,80,25,36000
Bexley,2021,366010,80,25,36400
Bexley,2022,394396,81,29,38000
Bexley,2023,390222,81,31,40100
Brent,2010,289562,21,48,26100
Brent,2011,298964,21,49,26700
Brent,2012,314113,21,46,27400
Brent,2013,339656,21,40,28300
Brent,2014,394687,21,41,29700
Brent,2015,440952,22,42,31200
Brent,2016,489469,22,45,32600
Brent,2017,487704,22,49,34100
Brent,2018,492845,22,50,35400
Brent,2019,474732,22,50,36300
Brent,2020,485851,22,47,37800
Brent,2021,513736,23,46,40400
Brent,2022,540491,23,53,44100
Brent,2023,537189,23,55,46000
Bromley,2010,271049,98,35,36500
Bromley,2011,274874,101,35,35900
Bromley,2012,282025,103,33,36400
Bromley,2013,296669,105,31,37200
Bromley,2014,347857,108,32,39000
Bromley,2015,385682,111,34,40400
Bromley,2016,428008,113,33,43500
Bromley,2017,441219,114,36,44000
Bromley,2018,443410,116,37,45500
Bromley,2019,436486,117,40,46600
Bromley,2020,434760,118,35,48200
Bromley,2021,465972,119,36,49300
Bromley,2022,497923,120,40,54500
Bromley,2023,498780,120,43,55300
Camden,2010,513221,25,51,68900
Camden,2011,554393,26,54,67100
Camden,2012,586166,25,51,69300
Camden,2013,667448,24,44,71200
Camden,2014,756486,24,41,78900
Camden,2015,787441,25,44,79200
Camden,2016,807119,26,43,85000
Camden,2017,839348,26,55,88000
Camden,2018,842410,26,51,92600
Camden,2019,843067,27,58,87400
Camden,2020,829863,28,41,96900
Camden,2021,836070,28,39,107000
Camden,2022,859340,28,60,119000
Camden,2023,853200,29,69,122000
City of London,2010,453662,51,5,137000
City of London,2011,463931,52,6,127000
City of London,2012,525328,53,5,117000
City of London,2013,570009,54,4,131000
City of London,2014,709385,55,5,151000
City of London,2015,760253,56,5,144000
City of London,2016,818316,57,6,142000
City of London,2017,849790,58,6,157000
City of London,2018,784809,59,6,148000
City of London,2019,797505,60,6,142000
City of London,2020,829379,60,3,128000
City of London,2021,812465,61,3,142000
City of London,2022,886889,62,8,167000
City of London,2023,908676,63,9,175000
Croydon,2010,218639,41,51,29700
Croydon,2011,215428,42,50,29000
Croydon,2012,221817,43,51,29700
Croydon,2013,234440,43,45,30700
Croydon,2014,274827,44,45,31800
Croydon,2015,307064,44,46,32600
Croydon,2016,355847,44,47,34200
Croydon,2017,372554,45,48,33800
Croydon,2018,370298,45,49,35600
Croydon,2019,365678,46,53,36500
Croydon,2020,374985,46,52,37800
Croydon,2021,395147,47,52,38300
Croydon,2022,418318,47,60,40900
Croydon,2023,411981,48,60,42500
Ealing,2010,292825,60,56,32400
Ealing,2011,302307,61,51,30700
Ealing,2012,318698,61,48,32000
Ealing,2013,338089,62,42,32600
Ealing,2014,400039,62,40,34500
Ealing,2015,438311,62,42,35300
Ealing,2016,476441,62,44,37000
Ealing,2017,484592,62,45,37300
Ealing,2018,480051,63,44,39700
Ealing,2019,472620,64,50,39800
Ealing,2020,479629,65,46,42700
Ealing,2021,506266,67,46,44100
Ealing,2022,525323,68,53,46800
Ealing,2023,507196,70,57,47900
Enfield,2010,242127,38,36,30600
Enfield,2011,241991,39,36,29000
Enfield,2012,247667,39,35,30400
Enfield,2013,261604,40,34,30800
Enfield,2014,294516,40,35,32900
Enfield,2015,335504,41,35,34400
Enfield,2016,385490,41,36,34600
Enfield,2017,395929,42,39,34600
Enfield,2018,396632,42,43,36200
Enfield,2019,392674,42,47,37200
Enfield,2020,395992,42,45,39500
Enfield,2021,424015,43,45,40700
Enfield,2022,446891,43,50,42800
Enfield,2023,440723,44,49,45800
Greenwich,2010,229069,53,39,32800
Greenwich,2011,229295,54,35,30000
Greenwich,2012,236981,55,34,31000
Greenwich,2013,253399,56,31,31500
Greenwich,2014,298352,57,32,34200
Greenwich,2015,331849,58,34,34800
Greenwich,2016,372738,59,37,37300
Greenwich,2017,391750,60,40,37500
Greenwich,2018,388344,60,40,40200
Greenwich,2019,393279,61,45,41300
Greenwich,2020,395397,62,40,44700
Greenwich,2021,405292,62,42,46400
Greenwich,2022,425402,63,50,48900
Greenwich,2023,423549,64,52,50400
Hackney,2010,300491,127,47,29800
Hackney,2011,308698,130,43,29500
Hackney,2012,325493,133,46,31200
Hackney,2013,372669,135,42,32700
Hackney,2014,456388,138,40,36300
Hackney,2015,506799,141,44,37100
Hackney,2016,537746,144,47,40200
Hackney,2017,549006,146,51,40600
Hackney,2018,544640,148,50,43100
Hackney,2019,554933,150,55,44900
Hackney,2020,582295,152,49,47200
Hackney,2021,593868,153,50,49400
Hackney,2022,627345,154,55,52500
Hackney,2023,622262,156,56,53600
Hammersmith and Fulham,2010,502256,110,39,52900
Hammersmith and Fulham,2011,518574,112,37,52000
Hammersmith and Fulham,2012,567082,110,36,52700
Hammersmith and Fulham,2013,631529,109,31,54300
Hammersmith and Fulham,2014,721100,109,31,61300
Hammersmith and Fulham,2015,760834,110,33,62000
Hammersmith and Fulham,2016,755098,110,33,69700
Hammersmith and Fulham,2017,756900,111,35,66600
Hammersmith and Fulham,2018,725525,112,35,73200
Hammersmith and Fulham,2019,718997,114,38,72600
Hammersmith and Fulham,2020,728445,116,30,75900
Hammersmith and Fulham,2021,764719,120,33,77800
Hammersmith and Fulham,2022,770146,123,37,83600
Hammersmith and Fulham,2023,727586,126,40,86700
Haringey,2010,314479,85,39,35100
Haringey,2011,326468,87,38,32900
Haringey,2012,339686,88,38,34600
Haringey,2013,372234,89,33,35400
Haringey,2014,435808,91,36,39100
Haringey,2015,480636,92,39,39500
Haringey,2016,527677,94,44,41700
Haringey,2017,557307,95,47,39900
Haringey,2018,551561,96,48,43800
Haringey,2019,546130,97,50,46300
Haringey,2020,559653,98,45,48600
Haringey,2021,575004,98,45,50200
Haringey,2022,593943,99,49,57100
Haringey,2023,600636,100,53,60800
Harrow,2010,292166,47,25,33300
Harrow,2011,296478,48,22,31100
Harrow,2012,304904,48,22,32400
Harrow,2013,319398,48,19,33300
Harrow,2014,360796,49,19,36000
Harrow,2015,408605,49,20,37000
Harrow,2016,453862,49,21,38500
Harrow,2017,470763,50,22,38400
Harrow,2018,465908,51,23,39000
Harrow,2019,449347,51,27,39300
Harrow,2020,453345,52,25,41500
Harrow,2021,485927,52,25,42800
Harrow,2022,517525,53,26,46500
Harrow,2023,509490,53,27,48900
Havering,2010,220413,21,28,29700
Havering,2011,219559,21,28,29000
Havering,2012,221602,21,27,30400
Havering,2013,226429,22,25,30600
Havering,2014,259267,22,25,31300
Havering,2015,291845,22,27,32100
Havering,2016,341804,22,29,33600
Havering,2017,360479,23,31,33900
Havering,2018,370249,23,31,35700
Havering,2019,364652,23,31,37100
Havering,2020,370360,23,28,38100
Havering,2021,390833,24,28,38000
Havering,2022,419657,24,34,40000
Havering,2023,419442,25,37,42000
Hillingdon,2010,247991,23,38,29300
Hillingdon,2011,251782,24,38,28400
Hillingdon,2012,260476,24,34,30000
Hillingdon,2013,270595,25,30,30100
Hillingdon,2014,305782,25,35,31300
Hillingdon,2015,352748,26,35,32300
Hillingdon,2016,400791,26,36,33900
Hillingdon,2017,413587,26,40,34300
Hillingdon,2018,410266,27,40,35900
Hillingdon,2019,404444,27,44,36800
Hillingdon,2020,409824,27,40,37300
Hillingdon,2021,431264,28,38,38200
Hillingdon,2022,454204,28,42,41600
Hillingdon,2023,441666,28,44,43000
Hounslow,2010,257449,44,38,31800
Hounslow,2011,264605,46,37,30800
Hounslow,2012,267958,46,37,32400
Hounslow,2013,290577,47,31,32200
Hounslow,2014,324526,48,32,35800
Hounslow,2015,351438,48,34,36800
Hounslow,2016,386462,48,36,38400
Hounslow,2017,400904,49,39,39900
Hounslow,2018,396631,50,40,40300
Hounslow,2019,401072,50,42,42000
Hounslow,2020,410288,51,38,41700
Hounslow,2021,424637,51,37,43000
Hounslow,2022,440140,52,43,45400
Hounslow,2023,455272,52,49,46800
Islington,2010,398055,135,44,48400
Islington,2011,424104,139,43,47600
Islington,2012,442090,142,44,47200
Islington,2013,495766,145,39,48400
Islington,2014,585171,149,40,51900
Islington,2015,643148,154,44,56800
Islington,2016,642137,157,44,58900
Islington,2017,650115,158,51,59500
Islington,2018,649824,160,45,62100
Islington,2019,633666,163,48,63900
Islington,2020,662764,163,40,66100
Islington,2021,690302,164,39,70100
Islington,2022,712673,166,48,76600
Islington,2023,704825,166,50,78000
Kensington and Chelsea,2010,837314,132,34,161000
Kensington and Chelsea,2011,908565,131,31,128000
Kensington and Chelsea,2012,1009045,129,33,137000
Kensington and Chelsea,2013,1126573,129,28,131000
Kensington and Chelsea,2014,1288406,129,28,156000
Kensington and Chelsea,2015,1302103,130,30,158000
Kensington and Chelsea,2016,1276235,130,31,178000
Kensington and Chelsea,2017,1344540,130,33,171000
Kensington and Chelsea,2018,1363880,131,34,177000
Kensington and Chelsea,2019,1241423,132,39,173000
Kensington and Chelsea,2020,1326363,133,28,185000
Kensington and Chelsea,2021,1321816,133,28,198000
Kensington and Chelsea,2022,1449948,134,39,208000
Kensington and Chelsea,2023,1313421,135,43,211000
Kingston upon Thames,2010,304310,43,18,39200
Kingston upon Thames,2011,312074,43,18,35500
Kingston upon Thames,2012,324578,44,17,38700
Kingston upon Thames,2013,345739,45,15,39900
Kingston upon Thames,2014,406106,46,15,41900
Kingston upon Thames,2015,438003,47,16,43600
Kingston upon Thames,2016,483333,47,17,45800
Kingston upon Thames,2017,492319,48,18,44500
Kingston upon Thames,2018,497091,48,20,48700
Kingston upon Thames,2019,487328,48,21,50300
Kingston upon Thames,2020,490318,49,18,50500
Kingston upon Thames,2021,513146,50,19,54000
Kingston upon Thames,2022,542126,50,22,56500
Kingston upon Thames,2023,544956,50,23,58300
Lambeth,2010,297167,111,57,35400
Lambeth,2011,304030,114,57,34200
Lambeth,2012,327466,116,56,35700
Lambeth,2013,362966,117,52,37600
Lambeth,2014,433625,119,52,40600
Lambeth,2015,471614,121,54,41100
Lambeth,2016,514562,122,56,43700
Lambeth,2017,518504,124,55,43900
Lambeth,2018,511536,125,55,45600
Lambeth,2019,508149,126,57,47500
Lambeth,2020,528241,127,49,49100
Lambeth,2021,533484,128,51,51900
Lambeth,2022,546494,128,56,56100
Lambeth,2023,551811,129,60,58000
Lewisham,2010,225582,78,46,28700
Lewisham,2011,228018,79,44,29300
Lewisham,2012,240572,80,40,29800
Lewisham,2013,260815,82,37,30400
Lewisham,2014,315813,83,35,31500
Lewisham,2015,355050,85,39,32400
Lewisham,2016,402649,86,40,34500
Lewisham,2017,411049,87,40,35900
Lewisham,2018,411629,88,42,36800
Lewisham,2019,409017,89,47,38000
Lewisham,2020,422906,90,44,41100
Lewisham,2021,438113,91,43,42600
Lewisham,2022,453004,92,49,44800
Lewisham,2023,460777,93,53,47000
Merton,2010,299999,53,24,44000
Merton,2011,306063,54,23,43100
Merton,2012,316743,54,22,43700
Merton,2013,344544,54,20,44400
Merton,2014,419977,54,19,48700
Merton,2015,457702,55,21,46900
Merton,2016,500267,55,22,50800
Merton,2017,512186,55,23,53200
Merton,2018,512294,56,23,54600
Merton,2019,505481,56,24,56300
Merton,2020,523837,56,22,55300
Merton,2021,549660,57,21,58500
Merton,2022,566932,58,25,63000
Merton,2023,564255,58,26,66300
Newham,2010,204467,83,55,21900
Newham,2011,207664,86,49,21700
Newham,2012,212825,87,50,22000
Newham,2013,222784,88,44,23100
Newham,2014,258312,90,44,24800
Newham,2015,297558,92,47,25400
Newham,2016,347957,95,48,27300
Newham,2017,362132,96,53,28200
Newham,2018,359022,98,56,30000
Newham,2019,363993,99,56,31000
Newham,2020,371433,100,51,31700
Newham,2021,387750,101,53,34300
Newham,2022,406905,102,61,36100
Newham,2023,412149,103,65,38900
Redbridge,2010,252334,49,37,30200
Redbridge,2011,261966,50,38,29400
Redbridge,2012,265912,50,36,30900
Redbridge,2013,274825,51,32,31800
Redbridge,2014,304162,52,32,33100
Redbridge,2015,343795,53,31,33900
Redbridge,2016,391837,53,32,35300
Redbridge,2017,410300,54,37,35500
Redbridge,2018,422591,54,37,37100
Redbridge,2019,411968,54,38,37100
Redbridge,2020,423290,55,36,38500
Redbridge,2021,454083,56,38,40300
Redbridge,2022,474129,57,41,42700
Redbridge,2023,469402,57,41,44200
Richmond upon Thames,2010,420083,32,20,58900
Richmond upon Thames,2011,434537,33,19,56300
Richmond upon Thames,2012,454942,33,19,57400
Richmond upon Thames,2013,492116,33,17,58800
Richmond upon Thames,2014,577055,34,17,64000
Richmond upon Thames,2015,618778,34,18,64600
Richmond upon Thames,2016,653761,34,19,67300
Richmond upon Thames,2017,665285,34,22,67000
Richmond upon Thames,2018,652666,35,21,69000
Richmond upon Thames,2019,649443,35,21,73800
Richmond upon Thames,2020,680945,35,20,77400
Richmond upon Thames,2021,711296,35,18,77900
Richmond upon Thames,2022,750001,36,22,90400
Richmond upon Thames,2023,752191,36,23,92000
Southwark,2010,293913,98,60,36800
Southwark,2011,312540,100,54,35400
Southwark,2012,331124,102,51,36500
Southwark,2013,360750,104,51,37500
Southwark,2014,427768,105,47,40500
Southwark,2015,467868,107,49,41600
Southwark,2016,510331,109,51,44200
Southwark,2017,515883,110,54,45400
Southwark,2018,504235,112,56,48600
Southwark,2019,499370,113,63,49400
Southwark,2020,510870,114,51,53400
Southwark,2021,514765,115,50,55300
Southwark,2022,541674,116,61,57800
Southwark,2023,534024,117,67,59700
Sutton,2010,233489,43,20,30000
Sutton,2011,233027,44,18,29100
Sutton,2012,238842,44,18,31400
Sutton,2013,252003,45,16,32400
Sutton,2014,291132,45,17,32800
Sutton,2015,322932,46,17,33600
Sutton,2016,365303,46,17,35400
Sutton,2017,376924,47,19,35500
Sutton,2018,379263,47,19,36900
Sutton,2019,371994,48,22,38500
Sutton,2020,378215,48,20,40200
Sutton,2021,402176,49,20,41400
Sutton,2022,430970,49,24,45200
Sutton,2023,432087,50,24,47900
Tower Hamlets,2010,282748,126,47,38300
Tower Hamlets,2011,287262,130,45,37400
Tower Hamlets,2012,285453,133,46,38200
Tower Hamlets,2013,309051,138,43,39000
Tower Hamlets,2014,382242,144,42,40800
Tower Hamlets,2015,421944,150,45,41800
Tower Hamlets,2016,457130,154,48,45000
Tower Hamlets,2017,459279,157,50,46600
Tower Hamlets,2018,446500,160,53,46600
Tower Hamlets,2019,438288,164,56,49300
Tower Hamlets,2020,464414,166,50,50100
Tower Hamlets,2021,454819,168,52,52700
Tower Hamlets,2022,469214,169,57,55500
Tower Hamlets,2023,452537,173,61,58100
Waltham Forest,2010,222102,66,44,24800
Waltham Forest,2011,220905,67,39,24400
Waltham Forest,2012,230727,68,38,25300
Waltham Forest,2013,254265,69,35,26200
Waltham Forest,2014,314934,69,32,27000
Waltham Forest,2015,357513,70,33,28200
Waltham Forest,2016,413149,71,33,29400
Waltham Forest,2017,436117,72,35,30300
Waltham Forest,2018,440859,73,37,31900
Waltham Forest,2019,430835,74,37,33700
Waltham Forest,2020,450012,75,36,34900
Waltham Forest,2021,477608,75,35,37100
Waltham Forest,2022,500721,76,40,40100
Waltham Forest,2023,499472,77,41,43900
Wandsworth,2010,374487,88,42,52800
Wandsworth,2011,386200,90,37,50700
Wandsworth,2012,409392,90,42,53400
Wandsworth,2013,457404,91,37,54700
Wandsworth,2014,544515,91,35,59900
Wandsworth,2015,572691,92,37,59200
Wandsworth,2016,608741,92,40,63600
Wandsworth,2017,617921,93,41,64900
Wandsworth,2018,596649,95,41,67900
Wandsworth,2019,588496,96,42,70400
Wandsworth,2020,611611,97,40,72400
Wandsworth,2021,611513,99,41,75300
Wandsworth,2022,633962,100,42,79700
Wandsworth,2023,622169,102,46,81300
Westminster,2010,606698,101,100,93500
Westminster,2011,632514,102,103,83400
Westminster,2012,696926,104,100,88200
Westminster,2013,789972,106,87,92200
Westminster,2014,922702,109,77,107000
Westminster,2015,964643,113,77,104000
Westminster,2016,995543,115,79,109000
Westminster,2017,1064772,116,90,107000
Westminster,2018,1020026,118,99,124000
Westminster,2019,955999,120,130,120000
Westminster,2020,960469,121,76,118000
Westminster,2021,962777,122,80,123000
Westminster,2022,1016767,123,130,133000
Westminster,2023,1006072,124,152,138700
